INFO 2025-03-03 21:25:27,027 autoreload Watching for file changes with StatReloader
INFO 2025-03-03 21:35:44,678 basehttp "GET / HTTP/1.1" 200 4580635
INFO 2025-03-03 21:36:24,896 basehttp "GET /manage/login/ HTTP/1.1" 200 7543
INFO 2025-03-03 21:36:30,316 basehttp "POST /manage/login/ HTTP/1.1" 200 7543
INFO 2025-03-03 21:36:35,013 basehttp "POST /manage/login/ HTTP/1.1" 302 0
INFO 2025-03-03 21:36:35,091 basehttp "GET / HTTP/1.1" 200 4586658
INFO 2025-03-03 21:36:38,046 basehttp "GET /manage/sections/ HTTP/1.1" 200 26258
INFO 2025-03-03 21:36:38,157 basehttp "GET /manage/sections/?model=Government HTTP/1.1" 200 19250
INFO 2025-03-03 21:36:39,194 basehttp "GET /manage/users/ HTTP/1.1" 200 16739
INFO 2025-03-03 21:36:39,947 basehttp "GET /manage/logs/ HTTP/1.1" 200 31296
INFO 2025-03-03 21:36:40,761 basehttp "GET /objections/ HTTP/1.1" 200 37765
INFO 2025-03-03 21:36:41,293 basehttp "GET /publications/ HTTP/1.1" 200 41305
INFO 2025-03-03 21:36:41,675 basehttp "GET /decrees/ HTTP/1.1" 200 57482
INFO 2025-03-03 21:37:19,904 basehttp "GET /formplus/ HTTP/1.1" 200 25097
INFO 2025-03-03 21:37:20,864 basehttp "GET /reports/decree/ HTTP/1.1" 200 10647
INFO 2025-03-03 21:37:21,496 basehttp "GET /reports/publication/ HTTP/1.1" 200 10559
INFO 2025-03-03 21:37:22,077 basehttp "GET /reports/objection/ HTTP/1.1" 200 10561
INFO 2025-03-03 21:37:24,284 basehttp "GET /reports/objection/?year=2025 HTTP/1.1" 200 12335
INFO 2025-03-03 21:37:24,860 basehttp "GET /reports/publication/ HTTP/1.1" 200 10559
INFO 2025-03-03 21:37:25,752 basehttp "GET /reports/publication/?year=2025 HTTP/1.1" 200 12186
INFO 2025-03-03 21:37:26,316 basehttp "GET /reports/decree/ HTTP/1.1" 200 10647
INFO 2025-03-03 21:37:27,397 basehttp "GET /reports/decree/?year=2022 HTTP/1.1" 200 12101
INFO 2025-03-03 21:37:28,481 basehttp "GET /reports/decree/?year=2025 HTTP/1.1" 200 12288
INFO 2025-03-03 21:39:15,549 basehttp "GET /publications/ HTTP/1.1" 200 41305
INFO 2025-03-03 21:39:16,484 basehttp "GET /decrees/ HTTP/1.1" 200 57482
INFO 2025-03-03 21:39:18,028 basehttp "GET /decrees/add/ HTTP/1.1" 200 31366
INFO 2025-03-03 21:39:20,156 basehttp "GET /decrees/ HTTP/1.1" 200 57482
INFO 2025-03-03 21:39:23,869 basehttp "GET /decrees/detail/11/ HTTP/1.1" 200 12965
INFO 2025-03-03 21:39:28,124 basehttp "GET /objections/ HTTP/1.1" 200 37765
INFO 2025-03-03 21:39:28,557 basehttp "GET /formplus/ HTTP/1.1" 200 25097
INFO 2025-03-03 21:39:29,917 basehttp "GET /reports/decree/ HTTP/1.1" 200 10647
INFO 2025-03-03 21:39:30,343 basehttp "GET /reports/publication/ HTTP/1.1" 200 10559
INFO 2025-03-03 21:39:30,738 basehttp "GET /reports/objection/ HTTP/1.1" 200 10561
INFO 2025-03-03 21:39:31,679 basehttp "GET /manage/sections/ HTTP/1.1" 200 26258
INFO 2025-03-03 21:39:31,801 basehttp "GET /manage/sections/?model=Government HTTP/1.1" 200 19250
INFO 2025-03-03 21:39:32,572 basehttp "GET /manage/users/ HTTP/1.1" 200 16739
INFO 2025-03-03 21:39:33,460 basehttp "GET /manage/logs/ HTTP/1.1" 200 31296
INFO 2025-03-03 21:39:35,568 basehttp "GET /manage/logs/ HTTP/1.1" 200 31296
INFO 2025-03-03 21:39:35,615 basehttp "GET /static/bootstrap5/bootstrap.rtl.css HTTP/1.1" 200 280259
INFO 2025-03-03 21:39:35,634 basehttp "GET /static/css/style.css HTTP/1.1" 200 6668
INFO 2025-03-03 21:39:35,635 basehttp "GET /static/flatpickr/flatpickr.min.css HTTP/1.1" 200 16166
INFO 2025-03-03 21:39:35,636 basehttp "GET /static/flatpickr/locale/ar.js HTTP/1.1" 200 1928
INFO 2025-03-03 21:39:35,641 basehttp "GET /static/flatpickr/flatpickr.min.js HTTP/1.1" 200 50679
INFO 2025-03-03 21:39:35,642 basehttp "GET /static/bootstrap5/bootstrap-icons.css HTTP/1.1" 200 65624
INFO 2025-03-03 21:39:35,644 basehttp "GET /static/bootstrap5/bootstrap.bundle.js HTTP/1.1" 200 207819
INFO 2025-03-03 21:39:35,682 basehttp "GET /static/fonts/Shabwa-Bold.ttf HTTP/1.1" 200 49452
INFO 2025-03-03 21:39:35,684 basehttp "GET /static/fonts/Shabwa-Medium.ttf HTTP/1.1" 200 51776
INFO 2025-03-03 21:39:35,685 basehttp "GET /static/fonts/Shabwa.ttf HTTP/1.1" 200 51148
INFO 2025-03-03 21:39:35,690 basehttp "GET /static/bootstrap5/bootstrap-icons.woff2 HTTP/1.1" 200 130396
WARNING 2025-03-03 21:39:35,787 log Not Found: /favicon.ico
WARNING 2025-03-03 21:39:35,787 basehttp "GET /favicon.ico HTTP/1.1" 404 15536
INFO 2025-03-03 21:40:23,504 basehttp "GET /manage/logs/ HTTP/1.1" 200 31296
INFO 2025-03-03 21:40:23,551 basehttp "GET /static/bootstrap5/bootstrap.rtl.css HTTP/1.1" 200 280259
INFO 2025-03-03 21:40:23,570 basehttp "GET /static/flatpickr/locale/ar.js HTTP/1.1" 200 1928
INFO 2025-03-03 21:40:23,571 basehttp "GET /static/flatpickr/flatpickr.min.css HTTP/1.1" 200 16166
INFO 2025-03-03 21:40:23,573 basehttp "GET /static/css/style.css HTTP/1.1" 200 6700
INFO 2025-03-03 21:40:23,578 basehttp "GET /static/flatpickr/flatpickr.min.js HTTP/1.1" 200 50679
INFO 2025-03-03 21:40:23,580 basehttp "GET /static/bootstrap5/bootstrap-icons.css HTTP/1.1" 200 65624
INFO 2025-03-03 21:40:23,586 basehttp "GET /static/bootstrap5/bootstrap.bundle.js HTTP/1.1" 200 207819
INFO 2025-03-03 21:40:23,678 basehttp "GET /manage/logs/ HTTP/1.1" 200 31296
INFO 2025-03-03 21:40:23,721 basehttp "GET /static/bootstrap5/bootstrap.rtl.css HTTP/1.1" 200 280259
INFO 2025-03-03 21:40:23,742 basehttp "GET /static/css/style.css HTTP/1.1" 200 6700
INFO 2025-03-03 21:40:23,744 basehttp "GET /static/flatpickr/flatpickr.min.css HTTP/1.1" 200 16166
INFO 2025-03-03 21:40:23,747 basehttp "GET /static/flatpickr/flatpickr.min.js HTTP/1.1" 200 50679
INFO 2025-03-03 21:40:23,749 basehttp "GET /static/bootstrap5/bootstrap-icons.css HTTP/1.1" 200 65624
INFO 2025-03-03 21:40:23,752 basehttp "GET /static/bootstrap5/bootstrap.bundle.js HTTP/1.1" 200 207819
INFO 2025-03-03 21:40:23,757 basehttp "GET /static/flatpickr/locale/ar.js HTTP/1.1" 200 1928
INFO 2025-03-03 21:40:23,830 basehttp "GET /manage/logs/ HTTP/1.1" 200 31296
INFO 2025-03-03 21:40:23,872 basehttp "GET /static/bootstrap5/bootstrap.rtl.css HTTP/1.1" 200 280259
INFO 2025-03-03 21:40:23,887 basehttp "GET /static/css/style.css HTTP/1.1" 200 6700
INFO 2025-03-03 21:40:23,888 basehttp "GET /static/flatpickr/flatpickr.min.css HTTP/1.1" 200 16166
INFO 2025-03-03 21:40:23,905 basehttp "GET /static/bootstrap5/bootstrap-icons.css HTTP/1.1" 200 65624
INFO 2025-03-03 21:40:23,906 basehttp "GET /static/flatpickr/flatpickr.min.js HTTP/1.1" 200 50679
INFO 2025-03-03 21:40:23,907 basehttp "GET /static/flatpickr/locale/ar.js HTTP/1.1" 200 1928
INFO 2025-03-03 21:40:23,915 basehttp "GET /static/bootstrap5/bootstrap.bundle.js HTTP/1.1" 200 207819
INFO 2025-03-03 21:40:23,980 basehttp "GET /manage/logs/ HTTP/1.1" 200 31296
INFO 2025-03-03 21:40:24,020 basehttp "GET /static/bootstrap5/bootstrap.rtl.css HTTP/1.1" 200 280259
